tweet_id,favorites,retweet_count
892420643555336193,35843,7593
892177421306343426,30935,5627
891815181378084864,23279,3720
891689557279858688,39113,7770
891327558926688256,37374,8366
891087950875897856,18834,2807
890971913173991426,10934,1827
890729181411237888,60394,16972
890609185150312448,25919,3863
890240255349198849,29593,6609
890006608113172480,28505,6592
889880896479866881,25920,4484
889665388333682689,44625,8993
889638837579907072,25119,4032
889531135344209921,14074,2031
889278841981685760,23378,4802
888917238123831296,27026,4045
888804989199671297,23728,3811
888554962724278272,18325,3121
888078434458587136,20240,3124
887705289381826560,28125,4862
887517139158093824,43089,10605
887473957103951883,63844,16193
887343217045368832,31278,9442
887101392804085760,28457,5373
886983233522544640,32396,6897
886736880519319552,11120,2883
886680336477933568,20891,4026
886366144734445568,19625,2852
886267009285017600,111,4
886258384151887873,25999,5689
886054160059072513,0,100
885984800019947520,30273,6052
885528943205470208,33392,5755
885518971528720385,19029,3367
885311592912609280,0,16658
885167619883638784,20330,3931
884925521741709313,71552,16251
884876753390489601,25844,5022
884562892145688576,22591,4232
884441805382717440,25182,5126
884247878851493888,67379,18285
884162670584377345,18962,2693
883838122936631299,20298,3089
883482846933004288,42560,8894
883360690899218434,21072,3329
883117836046086144,34475,5987
882992080364220416,22202,3501
882762694511734784,26259,4395
882627270321602560,26026,5467
882268110199369728,41637,10436
882045870035918850,27237,4392
881906580714921986,22617,3065
881666595344535552,47101,9616
881633300179243008,116,7
881536004380872706,45983,14422
881268444196462592,21615,4762
880935762899988482,15900,2521
880872448815771648,19787,3448
880465832366813184,26460,5593
880221127280381952,25071,3758
880095782870896641,25676,3915
879862464715927552,20788,3143
879674319642796034,292,10
879492040517615616,21846,2877
879415818425184262,98357,40136
879376492567855104,15636,2824
879130579576475649,0,6142
879050749262655488,20967,4244
879008229531029506,17693,2420
878776093423087618,18033,3697
878604707211726852,28022,6393
878404777348136964,0,1160
878316110768087041,0,5996
878281511006478336,7197,1160
878057613040115712,39175,6142
877736472329191424,73736,17111
877611172832227328,0,72
877556246731214848,21125,3438
877316821321428993,25520,4695
877201837425926144,25230,5036
876838120628539392,19271,3021
876537666061221889,22074,4245
876484053909872640,17506,2139
876120275196170240,26080,4221
875747767867523072,23442,3876
875144289856114688,20450,4441
875097192612077568,25592,5500
875021211251597312,23782,4273
874680097055178752,25950,4202
874434818259525634,0,13170
874296783580663808,24305,3737
874057562936811520,21216,3616
874012996292530176,31966,9279
873580283840344065,22626,3575
873337748698140672,0,1441
873213775632977920,6686,1441
872967104147763200,25458,4923
872820683541237760,13774,3378
872620804844003328,19393,3315
872486979161796608,38126,8237
872122724285648897,32062,7371
871879754684805121,35167,9985
871762521631449091,18924,3176
871515927908634625,18908,3172
871166179821445120,0,5214
871102520638267392,19608,5022
871032628920680449,21309,3483
870804317367881728,31552,5662
870726314365509632,114,3
870656317836468226,11576,2403
870374049280663552,77939,24277
870308999962521604,20568,3795
870063196459192321,34276,7607
869772420881756160,40021,9293
869702957897576449,26513,5776
869596645499047938,15000,2861
869227993411051520,19200,3459
868880397819494401,61476,13241
868639477480148993,0,1903
868622495443632128,25095,4860
868552278524837888,9480,1903
867900495410671616,22822,3845
867774946302451713,31993,6761
867421006826221569,15166,2293
867072653475098625,0,110
867051520902168576,30382,7273
866720684873056260,18881,4424
866686824827068416,18171,3220
866450705531457537,115370,32545
866334964761202691,49433,13170
866094527597207552,0,7748
865718153858494464,24259,5199
865359393868664832,25007,4634
865006731092295680,26489,7135
864873206498414592,30524,8043
864279568663928832,13797,2802
864197398364647424,28349,8203
863907417377173506,19510,3840
863553081350529029,14465,3891
863471782782697472,0,2254
863432100342583297,22534,4867
863427515083354112,2091,89
863079547188785154,8333,1032
863062471531167744,8012,2254
862831371563274240,18203,4792
862722525377298433,16232,3297
862457590147678208,19386,4594
862096992088072192,70406,21581
861383897657036800,34265,9986
861288531465048066,16307,3859
861005113778896900,15872,3561
860981674716409858,0,2005
860924035999428608,0,745
860563773140209665,7126,2005
860524505164394496,22512,4966
860276583193509888,17490,3284
860184849394610176,15874,5471
860177593139703809,0,28958
859924526012018688,18675,3844
859851578198683649,14721,3294
859607811541651456,17773,1465
859196978902773760,85682,28295
859074603037188101,32246,12799
858860390427611136,0,7626
858843525470990336,14886,3268
858471635011153920,20556,4577
858107933456039936,15063,2724
857989990357356544,15385,2445
857746408056729600,32768,10034
857393404942143489,5632,1551
857263160327368704,19218,4270
857214891891077121,214,17
857062103051644929,0,159
857029823797047296,18066,3761
856543823941562368,15671,2729
856526610513747968,11392,1779
856330835276025856,0,634
856288084350160898,494,15
856282028240666624,26663,5966
855862651834028034,324,24
855860136149123072,4723,933
855857698524602368,11431,1999
855851453814013952,44096,17176
855818117272018944,25679,5162
855459453768019968,28695,7834
855245323840757760,0,5671
855138241867124737,0,43
854732716440526848,21943,5781
854482394044301312,28246,6539
854365224396361728,18243,4486
854120357044912130,30917,7140
854010172552949760,15708,3017
853760880890318849,27664,5504
853639147608842240,33547,9613
853299958564483072,15008,3420
852936405516943360,0,1915
852912242202992640,8750,1738
852672615818899456,14473,2073
852553447878664193,15822,3334
852311364735569921,32189,9565
852226086759018497,19436,6593
852189679701164033,11143,1534
851861385021730816,0,19
851591660324737024,15833,3342
851464819735769094,23613,6819
851224888060895234,20162,5546
850753642995093505,30020,8796
850380195714523136,12778,2519
850333567704068097,3379,316
